osm_id,key,value,commentary
645789461,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
645789464,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
646016141,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
646016142,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
646016144,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
646016146,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
646016148,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
646016150,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
646016151,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
646016152,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
646016154,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
646016156,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
650093220,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
653618961,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
653618962,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
654379420,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
654379421,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
654379422,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
654379423,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
654379426,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
654379427,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
654379428,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
657092705,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
657095950,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
657750851,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
657750853,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
657750854,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
657750855,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
657750864,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
657750865,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
657752340,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
657942654,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
659237661,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
659237663,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
659237665,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
659237669,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
659237670,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
659237676,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
659237677,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
659237678,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
659237679,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
659237691,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
659237700,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
659237701,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
659237705,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
659237706,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
659237707,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
659237708,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
659237709,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
659237714,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
659241079,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
659241090,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
659241092,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
659241105,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
659435710,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
659435720,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
659435724,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
659596361,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
659596367,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
659599244,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
659608764,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
660018984,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
660018991,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
660018993,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
660026413,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
660026414,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
660026415,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
660048126,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
660048132,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
660048135,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
660048144,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
660048148,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
660048151,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
660048160,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
660048168,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
660048181,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
660048186,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
660609544,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
660609545,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
661066835,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
661296216,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
661450958,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
661450959,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
661638166,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
661781335,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
661781342,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
661781359,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
662538157,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
662538163,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
662538174,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
662714014,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
663076707,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
663339774,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
663339786,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
663339787,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
663339788,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
663339792,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
663373645,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
663377929,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
663647805,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
663647806,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
663647807,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
663647813,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
664311258,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
664311267,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
664311283,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
664311295,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
664311297,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
664311308,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
664311309,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
664311311,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
664311324,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
664570026,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
664575380,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
664575385,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
664575386,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
664575392,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
664575393,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
664575397,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
664575398,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
664575412,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
664575413,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
664909149,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
664909150,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
666388564,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
666388570,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
667784806,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
671002340,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
671002343,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
671124847,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
671127087,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
671903465,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
672436976,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
672436979,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
672577323,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
672577325,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
672577327,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
672577328,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
672577329,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
676395036,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
682275350,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
685999190,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
685999195,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
686240784,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
686240785,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
686240786,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
686240798,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
686242705,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
