osm_id,key,value,commentary
5308815,ways,"[24808041, 355510474, 355513278, 474492881, 943524803]",no wiki page for this key
14750142,ways,"[697614010, 1271885036, 1271885032, 1271885031, 1271885023, 1271885033, 1271885026, 1271885027, 1271885028, 1271885029, 1271885022, 1271885030, 1271885025, 1271885024, 24776037]",no wiki page for this key
15097192,ways,"[1128092797, 1128092802, 1128092805, 1128092806, 1128092807, 1128092803, 1128092804, 1128092808, 1128092809, 1128092811, 1128094171, 544907833, 1128095564, 1128095565]",no wiki page for this key
16177013,ways,"[1195434812, 469040530, 1195399304, 260977824, 1196165198, 1195397864, 1195397866, 1195397863, 1195402920, 1195397862, 469040528, 469040536, 469040527, 1195397867, 1195402919, 417959046, 1195402918, 417959082, 417959076, 1195429844, 685546730, 469040535, 469040540, 469040534, 469040532, 1195397869, 1195397870, 1195397873, 469040538, 469040537, 1195397871, 1195397872, 1195397874, 1195397868, 1195397877, 1195397878, 1195397875, 1195397879, 1195397880, 469040531, 469040533, 1195397876, 1195397882, 469040541, 1195433526]",no wiki page for this key
16338803,ways,"[583825035, 1208965621, 776926711, 1208965622, 1271885012, 1271885011, 1271885005, 1271885006, 1271885007]",no wiki page for this key
16356615,ways,"[485861529, 1209535937]",no wiki page for this key
16716952,ways,"[24600747, 24601086]",no wiki page for this key
17461246,ways,"[1274689430, 485396047, 1272133360, 1272133349, 1271885001, 1272133343, 1272133347, 1272133352, 1272133353, 1272133354, 1272133348, 1272133359, 1272133358, 1271884999, 1272133344, 1272133357, 1272133355, 1272133356, 1272133342, 1272133351, 1272133350, 1271884998, 1274682609, 1274682615, 1274682607, 1274682617, 1274682614, 1274682612, 1274682618, 1274682606, 1274682611, 1274682610, 1274682608, 1274682613]",no wiki page for this key
17461247,ways,"[545398071, 356115109, 1108365972, 356113898, 356115110, 1104180873, 1104180874, 1108365976, 1196172127, 1196172125]",no wiki page for this key
