osm_id,feat_type,key,value,commentary
8842953120,node,ANY (check at feature link),lowered=no,The '=' character is used ONLY in textual representation of tags to separate the key from the value
1070027466,way,ANY (check at feature link),barrier=kerb,The '=' character is used ONLY in textual representation of tags to separate the key from the value
1070027467,way,ANY (check at feature link),barrier=kerb,The '=' character is used ONLY in textual representation of tags to separate the key from the value
