osm_id,feat_type,key,value,commentary
960107187,way,last_update,1-7-2021,Feature has not been updated in 5 years or more
960107188,way,last_update,3-7-2021,Feature has not been updated in 5 years or more
960107190,way,last_update,1-7-2021,Feature has not been updated in 5 years or more
960107191,way,last_update,1-7-2021,Feature has not been updated in 5 years or more
960112722,way,last_update,1-7-2021,Feature has not been updated in 5 years or more
960112723,way,last_update,1-7-2021,Feature has not been updated in 5 years or more
960112724,way,last_update,1-7-2021,Feature has not been updated in 5 years or more
960112725,way,last_update,1-7-2021,Feature has not been updated in 5 years or more
960112726,way,last_update,1-7-2021,Feature has not been updated in 5 years or more
960112727,way,last_update,1-7-2021,Feature has not been updated in 5 years or more
960112729,way,last_update,1-7-2021,Feature has not been updated in 5 years or more
960112731,way,last_update,1-7-2021,Feature has not been updated in 5 years or more
960112732,way,last_update,1-7-2021,Feature has not been updated in 5 years or more
960112733,way,last_update,1-7-2021,Feature has not been updated in 5 years or more
960112734,way,last_update,1-7-2021,Feature has not been updated in 5 years or more
960901471,way,last_update,3-7-2021,Feature has not been updated in 5 years or more
961034061,way,last_update,3-7-2021,Feature has not been updated in 5 years or more
961138319,way,last_update,3-7-2021,Feature has not been updated in 5 years or more
961140587,way,last_update,3-7-2021,Feature has not been updated in 5 years or more
961607829,way,last_update,5-7-2021,Feature has not been updated in 5 years or more
961712913,way,last_update,5-7-2021,Feature has not been updated in 5 years or more
961712914,way,last_update,5-7-2021,Feature has not been updated in 5 years or more
961712916,way,last_update,5-7-2021,Feature has not been updated in 5 years or more
961712919,way,last_update,5-7-2021,Feature has not been updated in 5 years or more
961721015,way,last_update,5-7-2021,Feature has not been updated in 5 years or more
961721017,way,last_update,5-7-2021,Feature has not been updated in 5 years or more
961721019,way,last_update,5-7-2021,Feature has not been updated in 5 years or more
961721020,way,last_update,5-7-2021,Feature has not been updated in 5 years or more
961721021,way,last_update,5-7-2021,Feature has not been updated in 5 years or more
961721022,way,last_update,5-7-2021,Feature has not been updated in 5 years or more
961721023,way,last_update,5-7-2021,Feature has not been updated in 5 years or more
